Time,Model,Real,Level,,,,,,,Day 0,21/03/20
0,39,64,0,,,,,,,,
1,66.406648,88,0,,,,,,,,
2,108.106112,132,0,,,,,,,,
3,159.767408,173,0,,,,,,,,
4,218.225822,231,0,,,,,,,,
5,281.429431,315,0,,,,,,,,
6,463.671495,394,4,,,,,,,,
7,623.049526,469,4,,,,,,,,
8,761.63867,541,4,,,,,,,,
9,880.889863,615,4,,,,,,,,
10,982.454546,667,4,,,,,,,,
11,1068.230135,744,4,,,,,,,,
12,1140.205783,817,4,,,,,,,,
13,1200.317094,899,4,,,,,,,,
14,1250.352998,974,4,,,,,,,,
15,1291.909797,1051,4,,,,,,,,
16,1326.377757,1121,4,,,,,,,,
17,1354.947257,1174,4,,,,,,,,
18,1378.625249,1211,4,,,,,,,,
19,1398.256127,1239,4,,,,,,,,
20,1414.543529,1283,4,,,,,,,,
21,1428.071135,1310,4,,,,,,,,
22,1439.321543,1335,4,,,,,,,,
23,1448.692863,1355,4,,,,,,,,
24,1456.512991,1366,4,,,,,,,,
25,1463.051733,1382,4,,,,,,,,
26,1468.530971,1393,4,,,,,,,,
27,1473.133151,1410,4,,,,,,,,
28,1477.008309,1422,4,,,,,,,,
29,1480.279875,1432,4,,,,,,,,
30,1483.049453,1442,4,,,,,,,,
31,1485.400751,1445,4,,,,,,,,
32,1487.402796,1451,4,,,,,,,,
33,1489.112579,1456,4,,,,,,,,
34,1490.577211,1461,4,,,,,,,,
35,1491.835698,1467,4,,,,,,,,
36,1492.920382,1473,4,,,,,,,,
37,1493.858133,1476,4,,,,,,,,
38,1494.671312,1479,4,,,,,,,,
39,1495.165063,1480,3,,,,,,,,
40,1495.632685,1482,3,,,,,,,,
41,1496.072772,1485,3,,,,,,,,
42,1496.485597,1490,3,,,,,,,,
43,1496.872107,1490,3,,,,,,,,
44,1497.233471,1491,3,,,,,,,,
45,1497.570912,1491,3,,,,,,,,
46,1497.885661,1493,3,,,,,,,,
47,1498.17893,1495,3,,,,,,,,
48,1498.451908,1496,3,,,,,,,,
49,1498.705753,1497,3,,,,,,,,
50,1498.941591,1498,3,,,,,,,,
51,1499.16051,1501,3,,,,,,,,
52,1499.36356,1501,3,,,,,,,,
53,1499.551748,1501,3,,,,,,,,
54,1499.726035,1501,3,,,,,,,,
55,1499.849962,1502,2,,,,,,,,
56,1499.969818,1503,2,,,,,,,,
57,1500.08575,1503,2,,,,,,,,
58,1500.197972,1503,2,,,,,,,,
59,1500.306658,1503,2,,,,,,,,
60,1500.41192,1503,2,,,,,,,,
61,1500.51382,1503,2,,,,,,,,
62,1500.61239,1503,2,,,,,,,,
63,1500.707651,1504,2,,,,,,,,
64,1500.799621,1504,2,,,,,,,,
65,1500.888323,1504,2,,,,,,,,
66,1500.973786,1504,2,,,,,,,,
67,1501.05605,1504,2,,,,,,,,
68,1501.135162,1504,2,,,,,,,,
69,1501.211175,1504,2,,,,,,,,
70,1501.284154,1504,2,,,,,,,,
71,1501.354164,1504,2,,,,,,,,
72,1501.421281,1504,2,,,,,,,,
73,1501.485581,1504,2,,,,,,,,
74,1501.547144,1504,2,,,,,,,,
75,1501.606054,1504,2,,,,,,,,
76,1501.662393,1504,2,,,,,,,,
77,1501.716249,1504,2,,,,,,,,
78,1501.767704,1504,2,,,,,,,,
79,1501.816847,1504,2,,,,,,,,
80,1501.86376,1504,2,,,,,,,,
81,1501.867035,1504,1,,,,,,,,
82,1501.870485,1504,1,,,,,,,,
83,1501.874202,1504,1,,,,,,,,
84,1501.878207,1504,1,,,,,,,,
85,1501.882525,1504,1,,,,,,,,
86,1501.88718,1504,1,,,,,,,,
87,1501.8922,1504,1,,,,,,,,
88,1501.897612,1506,1,,,,,,,,
89,1501.903446,1506,1,,,,,,,,
90,1501.909733,1506,1,,,,,,,,
91,1501.916505,1506,1,,,,,,,,
92,1501.923799,1506,1,,,,,,,,
93,1501.931653,1506,1,,,,,,,,
94,1501.940109,1506,1,,,,,,,,
95,1501.949211,1506,1,,,,,,,,
96,1501.959007,1506,1,,,,,,,,
97,1501.969549,1506,1,,,,,,,,
98,1501.980891,1506,1,,,,,,,,
99,1501.993096,1506,1,,,,,,,,
100,1502.006225,1506,1,,,,,,,,
101,1502.021853,1506,1,,,,,,,,
102,1502.044514,1506,1,,,,,,,,
103,1502.075098,1506,1,,,,,,,,
104,1502.112758,1506,1,,,,,,,,
105,1502.156504,1506,1,,,,,,,,
106,1502.205634,1506,1,,,,,,,,
107,1502.259762,1506,1,,,,,,,,
108,1502.318757,1506,1,,,,,,,,
109,1502.382673,1506,1,,,,,,,,
110,1502.451689,1506,1,,,,,,,,
111,1502.526075,1506,1,,,,,,,,
112,1502.60617,1506,1,,,,,,,,
113,1502.692363,1506,1,,,,,,,,
114,1502.785091,1506,1,,,,,,,,
115,1502.884833,1506,1,,,,,,,,
116,1502.992109,1506,1,,,,,,,,
117,1503.107484,1506,1,,,,,,,,
118,1503.231565,1506,1,,,,,,,,
119,1503.365008,1506,1,,,,,,,,
120,1503.508517,1506,1,,,,,,,,
121,1503.662851,1506,1,,,,,,,,
122,1503.828826,1506,1,,,,,,,,
123,1504.007321,1506,1,,,,,,,,
124,1504.199279,1506,1,,,,,,,,
125,1504.405716,1506,1,,,,,,,,
126,1504.627723,1506,1,,,,,,,,
127,1504.866475,1506,1,,,,,,,,
128,1505.123235,1506,1,,,,,,,,
129,1505.399362,1506,1,,,,,,,,
130,1505.696315,1506,1,,,,,,,,
131,1506.015666,1506,1,,,,,,,,
132,1506.359103,1506,1,,,,,,,,
133,1506.728444,1506,1,,,,,,,,
134,1507.125642,1506,1,,,,,,,,
135,1507.552799,1506,1,,,,,,,,
136,1508.012173,1506,1,,,,,,,,
137,1508.506194,1506,1,,,,,,,,
138,1509.037476,1506,1,,,,,,,,
139,1509.608829,1506,1,,,,,,,,
140,1510.223274,1506,1,,,,,,,,
141,1510.884063,1506,1,,,,,,,,
142,1511.594689,1506,1,,,,,,,,
143,1512.358911,1506,1,,,,,,,,
144,1513.180772,1510,1,,,,,,,,
145,1529.290482,1523,3,,,,,,,,
146,1543.913513,1535,3,,,,,,,,
147,1557.185947,1540,3,,,,,,,,
148,1569.196777,1553,3,,,,,,,,
149,1580.022019,1565,3,,,,,,,,
150,1589.743962,1574,3,,,,,,,,
151,1598.451202,1584,3,,,,,,,,
152,1606.234436,1589,3,,,,,,,,
153,1613.18254,1594,3,,,,,,,,
154,1619.379904,1601,3,,,,,,,,
155,1624.904934,1603,3,,,,,,,,
156,1629.829407,1610,3,,,,,,,,
157,1634.218366,1617,3,,,,,,,,
158,1638.130344,1620,3,,,,,,,,
159,1641.617773,1625,3,,,,,,,,
160,1644.727463,1631,3,,,,,,,,
161,1647.501119,1640,3,,,,,,,,
162,1649.975846,1644,3,,,,,,,,
163,1652.184621,1648,3,,,,,,,,
164,1653.70041,1650,2,,,,,,,,
165,1655.117755,1654,2,,,,,,,,
166,1656.446893,1658,2,,,,,,,,
167,1657.697243,1660,2,,,,,,,,
168,1658.876804,1662,2,,,,,,,,
169,1659.991955,1667,2,,,,,,,,
170,1661.047771,1669,2,,,,,,,,
171,1662.048385,1673,2,,,,,,,,
